Municipality,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Vordingborg,2328.0,3405.0,3681.0,3077.0,3327.0,2704.0,2309.0,2470.0,2498.0,2650.0,2573.0,2056.0,1878.0,1633.0,1443.0,1613.0,1686.0
Assens,1585.0,2358.0,2586.0,2732.0,2251.0,2014.0,1880.0,1722.0,1424.0,1599.0,1237.0,1321.0,1444.0,1742.0,1492.0,1099.0,1255.0
Faaborg-Midtfyn,1459.0,2458.0,2712.0,2907.0,2790.0,2580.0,2203.0,2075.0,2059.0,1603.0,1764.0,1713.0,1615.0,1552.0,1569.0,1422.0,1613.0
Kerteminde,875.0,1283.0,1410.0,1430.0,1107.0,1226.0,1180.0,1064.0,939.0,845.0,743.0,773.0,855.0,700.0,655.0,615.0,809.0
Langeland,397.0,783.0,797.0,783.0,578.0,692.0,580.0,437.0,435.0,447.0,456.0,429.0,482.0,384.0,362.0,397.0,471.0
Middelfart,1888.0,2662.0,2824.0,2670.0,2876.0,2393.0,2256.0,2002.0,1736.0,1846.0,1904.0,1723.0,1658.0,1679.0,1400.0,1657.0,1573.0
Nordfyns,1118.0,1723.0,2088.0,1893.0,1746.0,1598.0,1224.0,1184.0,1065.0,1022.0,1086.0,977.0,1060.0,1015.0,883.0,840.0,932.0
Nyborg,1470.0,2384.0,2700.0,2517.0,2325.0,2461.0,1980.0,1879.0,1777.0,1548.0,1768.0,1560.0,1600.0,1277.0,1315.0,1195.0,1188.0
Odense,15585.0,20584.0,22233.0,21028.0,19635.0,18758.0,16913.0,16196.0,14832.0,14627.0,13404.0,12309.0,12278.0,12414.0,10629.0,10963.0,11305.0
Svendborg,2353.0,3768.0,3873.0,3989.0,3374.0,3392.0,3021.0,2623.0,2397.0,2231.0,2377.0,2462.0,2168.0,2284.0,2129.0,2264.0,2400.0
Ærø,171.0,189.0,161.0,163.0,131.0,140.0,176.0,138.0,99.0,91.0,136.0,132.0,123.0,92.0,81.0,82.0,116.0
Billund,1148.0,1630.0,2142.0,2293.0,2032.0,1941.0,1828.0,1630.0,1354.0,1317.0,1246.0,1318.0,1205.0,1063.0,720.0,901.0,909.0
Esbjerg,6647.0,9249.0,9378.0,9480.0,9177.0,8536.0,7456.0,7257.0,6723.0,6844.0,6535.0,6151.0,6214.0,5759.0,5568.0,5448.0,6035.0
Fanø,188.0,153.0,157.0,123.0,137.0,143.0,126.0,160.0,123.0,86.0,132.0,162.0,153.0,83.0,107.0,128.0,133.0
Fredericia,3417.0,4885.0,5258.0,5303.0,4694.0,4293.0,4036.0,4336.0,4063.0,3371.0,3289.0,3238.0,2934.0,2513.0,2442.0,2764.0,3226.0
Haderslev,3117.0,5020.0,4739.0,3962.0,3865.0,3300.0,3530.0,3414.0,3287.0,3508.0,2864.0,2438.0,2189.0,2006.0,1994.0,2273.0,2133.0
Kolding,5971.0,8533.0,9266.0,7731.0,7383.0,6858.0,6085.0,6123.0,6116.0,5634.0,5892.0,5834.0,5043.0,3875.0,3839.0,4223.0,4384.0
Sønderborg,3582.0,5191.0,5888.0,5336.0,5170.0,4474.0,4081.0,4297.0,3378.0,3609.0,3524.0,3412.0,3032.0,2390.0,2272.0,2592.0,2784.0
Tønder,1861.0,2491.0,2472.0,2290.0,2411.0,2230.0,2120.0,2035.0,1696.0,1655.0,1452.0,1600.0,2180.0,1391.0,1245.0,1441.0,1400.0
Varde,2165.0,3022.0,3273.0,3092.0,3376.0,2792.0,2455.0,2382.0,2137.0,2028.0,2078.0,2119.0,1711.0,1657.0,1433.0,1575.0,1515.0
Vejen,2105.0,3015.0,2794.0,3139.0,2850.0,2408.0,2681.0,2079.0,1715.0,1582.0,1623.0,1391.0,1337.0,1156.0,1101.0,1240.0,1306.0
Vejle,5773.0,7917.0,9450.0,8899.0,8524.0,7823.0,6930.0,6231.0,6002.0,5693.0,5889.0,5760.0,5529.0,4313.0,3927.0,4368.0,4969.0
Aabenraa,3566.0,5031.0,5177.0,4831.0,4367.0,4097.0,3697.0,3925.0,3200.0,3005.0,3092.0,2942.0,2594.0,2432.0,2251.0,2070.0,2031.0
Favrskov,1676.0,2387.0,2116.0,2250.0,2196.0,2204.0,2102.0,1843.0,1689.0,1632.0,1693.0,1610.0,1383.0,1511.0,1163.0,1112.0,1386.0
Hedensted,1610.0,2174.0,2433.0,2386.0,2236.0,2163.0,1976.0,1616.0,1396.0,1426.0,1592.0,1512.0,1432.0,1224.0,1036.0,1215.0,1333.0
Horsens,4464.0,6494.0,6803.0,6395.0,6233.0,5903.0,4899.0,4892.0,4195.0,4178.0,4389.0,4575.0,3940.0,3396.0,3224.0,3782.0,4102.0
Norddjurs,2235.0,3058.0,2881.0,2541.0,2332.0,2034.0,2026.0,1732.0,1781.0,1657.0,1800.0,1389.0,1583.0,1352.0,1281.0,1252.0,1332.0
Odder,764.0,1058.0,1160.0,1208.0,1088.0,1083.0,1023.0,890.0,768.0,712.0,785.0,800.0,610.0,557.0,548.0,588.0,630.0
Randers,5534.0,7087.0,8147.0,7400.0,7446.0,6394.0,6362.0,5751.0,5818.0,6552.0,4905.0,4885.0,4955.0,4762.0,4461.0,4206.0,4477.0
Samsø,161.0,147.0,124.0,156.0,123.0,146.0,127.0,103.0,107.0,94.0,86.0,94.0,88.0,86.0,62.0,87.0,111.0
Silkeborg,3908.0,5777.0,5650.0,5794.0,5275.0,5214.0,4683.0,4093.0,3448.0,3754.0,3658.0,3723.0,3464.0,3177.0,2764.0,2895.0,3051.0
Skanderborg,2414.0,3280.0,3453.0,3600.0,3456.0,3402.0,3279.0,3026.0,2537.0,2520.0,2729.0,2418.0,1978.0,1482.0,1665.0,1697.0,1710.0
Syddjurs,1708.0,2610.0,2928.0,2688.0,2571.0,2275.0,2213.0,2070.0,1889.0,1663.0,2055.0,1602.0,1423.0,1233.0,1402.0,1167.0,1308.0
Aarhus,24465.0,33411.0,32456.0,32244.0,34396.0,34690.0,33520.0,30716.0,28209.0,28014.0,26087.0,24658.0,22103.0,20749.0,18386.0,23097.0,23535.0
Herning,3398.0,5135.0,5696.0,5437.0,4776.0,4747.0,4354.0,3921.0,3722.0,4086.0,4009.0,4066.0,3755.0,3398.0,3036.0,3601.0,3631.0
Holstebro,2628.0,3676.0,3772.0,3203.0,3106.0,3270.0,2653.0,2729.0,2448.0,2236.0,3016.0,3061.0,2737.0,2255.0,2159.0,1943.0,2370.0
Ikast-Brande,1509.0,2409.0,2189.0,2491.0,2406.0,2220.0,1904.0,1698.0,1310.0,1533.0,1789.0,1692.0,1582.0,1459.0,1366.0,1306.0,1547.0
Lemvig,607.0,749.0,657.0,622.0,669.0,716.0,534.0,443.0,443.0,420.0,408.0,463.0,416.0,477.0,442.0,370.0,344.0
Ringkøbing-Skjern,2261.0,3077.0,3189.0,3014.0,2903.0,2656.0,2427.0,2212.0,1918.0,1808.0,2050.0,1866.0,1378.0,1432.0,1302.0,1476.0,1500.0
Skive,1905.0,2740.0,2945.0,2836.0,2525.0,2329.0,2238.0,1989.0,1803.0,1732.0,1607.0,1680.0,1621.0,1470.0,1277.0,1478.0,1391.0
Struer,666.0,1207.0,1144.0,1021.0,840.0,963.0,820.0,886.0,695.0,788.0,761.0,684.0,644.0,748.0,564.0,619.0,643.0
Viborg,3733.0,5214.0,5260.0,5479.0,4913.0,4502.0,4062.0,4145.0,3934.0,3679.0,4006.0,5042.0,3355.0,3348.0,2788.0,4213.0,3917.0
Brønderslev,1562.0,2004.0,1823.0,1763.0,2069.0,1651.0,1659.0,1374.0,1315.0,1291.0,1180.0,1346.0,1122.0,892.0,1023.0,926.0,894.0
Frederikshavn,3173.0,4518.0,5029.0,4344.0,4471.0,3507.0,3295.0,2529.0,2750.0,3134.0,3074.0,3032.0,3135.0,2109.0,1661.0,1773.0,1836.0
Hjørring,3262.0,4563.0,4192.0,4079.0,3769.0,3287.0,2965.0,2469.0,2739.0,3308.0,3004.0,2641.0,2279.0,1822.0,1560.0,1924.0,1910.0
Jammerbugt,1553.0,2254.0,2458.0,2348.0,2322.0,2238.0,1932.0,1564.0,1620.0,1462.0,1215.0,1451.0,1229.0,1096.0,1100.0,979.0,882.0
Læsø,22.0,16.0,20.0,55.0,31.0,37.0,47.0,51.0,38.0,18.0,15.0,30.0,41.0,29.0,19.0,17.0,11.0
Mariagerfjord,1663.0,2669.0,2986.0,2678.0,2696.0,2361.0,2163.0,2247.0,1874.0,1693.0,1497.0,1576.0,1451.0,1618.0,1305.0,1296.0,1224.0
Morsø,897.0,1145.0,1162.0,1012.0,999.0,929.0,1096.0,1016.0,778.0,835.0,776.0,741.0,697.0,667.0,486.0,595.0,477.0
Rebild,795.0,1321.0,1340.0,1158.0,1294.0,1288.0,1267.0,1002.0,882.0,942.0,819.0,742.0,664.0,646.0,530.0,591.0,534.0
Thisted,1836.0,2350.0,2276.0,2001.0,1999.0,2231.0,1980.0,1609.0,1456.0,1937.0,1446.0,1600.0,1354.0,1062.0,1006.0,1250.0,1024.0
Vesthimmerlands,1718.0,2558.0,2831.0,2281.0,2415.0,2047.0,2260.0,2068.0,1703.0,1723.0,1376.0,1450.0,1218.0,1250.0,1672.0,1185.0,1860.0
Aalborg,11357.0,16576.0,16451.0,15635.0,17282.0,16095.0,15072.0,13848.0,12183.0,11179.0,10582.0,10772.0,9751.0,8452.0,6817.0,8715.0,9827.0
Uoplyst kommune,3391.0,3574.0,3268.0,4016.0,3714.0,4009.0,4659.0,5388.0,10424.0,12715.0,17180.0,18812.0,27078.0,35516.0,32652.0,31398.0,39744.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
